"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.owncloud.android.test.ui.actions","/home/matheus/smell-and-machine-learning/repositories/nextcloud_android/automationTest/src/test/java/com/owncloud/android/test/ui/actions/Actions.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.owncloud.android.util","/home/matheus/smell-and-machine-learning/repositories/nextcloud_android/src/androidTest/java/com/owncloud/android/util/EncryptionTestIT.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.owncloud.android.utils","/home/matheus/smell-and-machine-learning/repositories/nextcloud_android/src/gplay/java/com/owncloud/android/utils/PushUtils.java","3","74","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.nextcloud.android.sso.aidl","/home/matheus/smell-and-machine-learning/repositories/nextcloud_android/src/main/java/com/nextcloud/android/sso/aidl/NextcloudRequest.java","3","27","The class 'NextcloudRequest' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=13)","Design","DataClass"
"1","com.owncloud.android","/home/matheus/smell-and-machine-learning/repositories/nextcloud_android/src/main/java/com/owncloud/android/MainApp.java","3","95","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.owncloud.android","/home/matheus/smell-and-machine-learning/repositories/nextcloud_android/src/main/java/com/owncloud/android/MainApp.java","3","121","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.owncloud.android.authentication","/home/matheus/smell-and-machine-learning/repositories/nextcloud_android/src/main/java/com/owncloud/android/authentication/AccountAuthenticator.java","3","50","The class 'AccountAuthenticator' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=12)","Design","DataClass"
"1","com.owncloud.android.authentication","/home/matheus/smell-and-machine-learning/repositories/nextcloud_android/src/main/java/com/owncloud/android/authentication/AuthenticatorActivity.java","3","140","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.owncloud.android.authentication","/home/matheus/smell-and-machine-learning/repositories/nextcloud_android/src/main/java/com/owncloud/android/authentication/AuthenticatorActivity.java","3","143","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.owncloud.android.authentication","/home/matheus/smell-and-machine-learning/repositories/nextcloud_android/src/main/java/com/owncloud/android/authentication/AuthenticatorActivity.java","3","674","Avoid really long methods.","Design","ExcessiveMethodLength"
